doc_id,title,feed,rank,rec_id,rec_title,rec_feed,cosine,same_topic
0,美国科罗拉多州推出测均速相机系统,Solidot,1,36,早报｜国内五大手机厂商全线涨价/奇瑞宣布放1天春假，但要用年假来换/广州早茶新规：茶位费必须配茶、传统点心须24小时现制,爱范儿,0.472,1
0,美国科罗拉多州推出测均速相机系统,Solidot,2,131,一次停滞观全局：自动驾驶安全冗余与产业发展定力,雷锋网,0.4435,1
0,美国科罗拉多州推出测均速相机系统,Solidot,3,133,对话图达通CEO鲍君威：有摄像头的地方，就是激光雷达的赛道,雷锋网,0.3961,0
0,美国科罗拉多州推出测均速相机系统,Solidot,4,210,充分尊重张雪意见 慈善家陈光标捐给嫣然医院1000万元,CNBeta,0.3716,0
0,美国科罗拉多州推出测均速相机系统,Solidot,5,28,早报｜豆包大模型日均Token使用量破120万亿/广电行业组织发布AI换脸严正声明/任天堂前销售负责人：Switch 2涨价几乎不可避免,爱范儿,0.2538,0
1,认知投降导致 AI 用户放弃逻辑思维能力,Solidot,1,197,欧洲开源办公套件“Euro-Office”登场 被视为针对微软Office的又一方案,CNBeta,0.4807,0
1,认知投降导致 AI 用户放弃逻辑思维能力,Solidot,2,84,阶跃星辰发布最新模型 Step 3.5 Flash 2603，提升推理效率与灵活性,开源中国,0.3598,0
1,认知投降导致 AI 用户放弃逻辑思维能力,Solidot,3,14,雄章鱼交接腕兼具感觉和交配功能,Solidot,0.3233,0
1,认知投降导致 AI 用户放弃逻辑思维能力,Solidot,4,94,众筹300万美元的Agent盒子，想彻底解决你的算力焦虑,36氪,0.222,0
1,认知投降导致 AI 用户放弃逻辑思维能力,Solidot,5,61,:fire: Solon AI Harness 首次发布,开源中国,0.2061,0
2,AWS 工程师报告 Linux 7.0 下 PostgreSQL 性能暴降一半,Solidot,1,175,Linus确认Linux 7.0 稳定版下周发布,CNBeta,0.9296,0
2,AWS 工程师报告 Linux 7.0 下 PostgreSQL 性能暴降一半,Solidot,2,7,Gentoo GNU/Hurd 不是愚人节玩笑,Solidot,0.5521,0
2,AWS 工程师报告 Linux 7.0 下 PostgreSQL 性能暴降一半,Solidot,3,162,超简单 “一键安装 1Panel 面板” 教程 (VPS 云服务器必备),异次元软件世界,0.4507,0
